Flair,0-6,6-12,12-18,18-24
Political,28.86178861788618,14.634146341463415,20.73170731707317,35.77235772357724
Non-Political,11.085297046133421,23.514769332890808,33.78692333222702,31.613010288748754
[R]eddiquette,14.540816326530612,17.772108843537413,24.57482993197279,43.11224489795919
AskIndia,11.798481200222263,22.115206519725874,33.17280977958881,32.913502500463046
Science/Technology,8.041060735671515,22.840034217279726,39.26432848588537,29.854576561163388
Policy/Economy,7.053941908713693,34.439834024896264,33.69294605809129,24.813278008298756
Finance/Business,26.31578947368421,8.187134502923977,21.637426900584796,43.85964912280702
Sports,10.69767441860465,21.162790697674417,40.69767441860465,27.441860465116278
Food,10.491803278688524,19.672131147540984,35.08196721311475,34.75409836065574
Photography,13.806706114398422,23.668639053254438,30.37475345167653,32.14990138067061
AMA,45.23809523809524,13.80952380952381,10.0,30.952380952380953
